Mã phiếu,Người tạo,Ngày tạo,Mã kế hoạch,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN
PR23/05-0055,Hoàng Văn Khiêm ,5/18/2023,EP2305-0058,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",CUON,36,KG,360,
PR23/06-054,Hoàng Văn Khiêm ,6/20/2023,EP2306-0063,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",CUON,1,KG,10,
PR23/07-045,Hoàng Văn Khiêm ,7/21/2023,EP2307-0062,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",CUON,2,KG,20,
PR23/07-058,Hoàng Văn Khiêm ,7/27/2023,EP2307-0075,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,10,KG,10,
PR23/08-003,Hoàng Văn Khiêm ,8/1/2023,EP2307-0094,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,10,KG,10,
PR23/08-028,Hoàng Văn Khiêm ,8/15/2023,EP2308-0043,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,15,KG,15,
PR23/08-043,Hoàng Văn Khiêm ,8/21/2023,EP2308-0067,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,25,KG,25,
PR23/09-032,Nguyễn Thị Hưởng,9/11/2023,EP2309-0038,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,50,KG,50,
PR23/09-042,Hoàng Văn Khiêm ,9/15/2023,EP2309-0058,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,50,KG,50,
PR23/11-006,Hoàng Văn Khiêm ,11/2/2023,EP2311-0003,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,50,KG,500,
PR23/12-031,Hoàng Văn Khiêm ,12/13/2023,EP2312-0038,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,50,KG,500,
PR24/01-069,Hoàng Văn Khiêm ,1/23/2024,EP2401-0078,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,100,KG,1000,
PR24/03-038,Hoàng Văn Khiêm ,3/13/2024,EP2403-0040,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,100,KG,1000,
PR24/04-029,Hoàng Văn Khiêm ,4/11/2024,EP2404-0030,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,100,KG,1000,
PR24/05-073,Hoàng Văn Khiêm ,5/29/2024,EP2405-0097,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,100,KG,1000,
PR24/07-087,Nguyễn Thị Hưởng,7/26/2024,EP2407-0083,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,100,KG,1000,
PR24/03-081,Nguyễn Thị Hưởng,3/28/2024,EP2403-0093,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,20,KG,200,
PR24/02-035,Hoàng Văn Khiêm ,2/27/2024,EP2402-0038,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,10,KG,100,
PR24/03-021,Hoàng Văn Khiêm ,3/7/2024,EP2403-0018,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,10,KG,100,
PR24/01-085,Hoàng Văn Khiêm ,1/25/2024,EP2401-0097,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,5,KG,50,
PR23/12-031,Hoàng Văn Khiêm ,12/13/2023,EP2312-0038,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,5,KG,50,
PR23/12-031,Hoàng Văn Khiêm ,12/13/2023,EP2312-0039,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,8,KG,80,
PR23/06-035,Hoàng Văn Khiêm ,6/14/2023,EP2306-0041,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,4,KG,0.04,
PR2304-0038,,5/17/2023,EP2304-0063,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,5,KG,50,
PR23/06-039,Hoàng Văn Khiêm ,6/15/2023,EP2306-0049,0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,4,KG,40,
PR23/06-040,Hoàng Văn Khiêm ,6/15/2023,EP2306-0050,0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,42,KG,420,
PR24/05-073,Hoàng Văn Khiêm ,5/29/2024,EP2405-0097,0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,40,KG,400,
PR24/05-003,Hoàng Văn Khiêm ,5/2/2024,EP2405-0001,0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,5,KG,50,
PR24/05-041,Hoàng Văn Khiêm ,5/15/2024,EP2405-0046,0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,10,KG,100,
PR24/07-003,Nguyễn Thị Hưởng,7/1/2024,EP2406-0096,0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,10,KG,100,
PR24/07-087,Nguyễn Thị Hưởng,7/26/2024,EP2407-0083,0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",CUON,3,KG,60,
PR24/04-029,Hoàng Văn Khiêm ,4/11/2024,EP2404-0030,0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",CUON,5,KG,100,
PR23/11-006,Hoàng Văn Khiêm ,11/2/2023,EP2311-0003,0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",CUON,3,KG,60,
PR24/02-023,Hoàng Văn Khiêm ,2/20/2024,EP2402-0013,0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",CUON,2,KG,40,
PR24/05-070,Hoàng Văn Khiêm ,5/27/2024,EP2405-0083,5200105363000000,HK6 (L),CM2,10000,CM2,10000,
PR23/08-007,Nguyễn Viết Hậu,8/3/2023,EP2308-0010,5200108390000000,Dongwon 77-B,CM2,10000,CM2,10000,
PR23/08-019,Hoàng Văn Khiêm ,8/10/2023,EP2308-0032,5200108420000000,Dongwon 83-A,CM2,10000,CM2,10000,
PR23/08-019,Hoàng Văn Khiêm ,8/10/2023,EP2308-0031,5200108430000000,Dongwon 88-A,CM2,10000,CM2,10000,
PR2304-0034,,5/17/2023,EP2304-0055,5200108726000000,GARDENIA BRUNEL,CM2,10000,CM2,10000,
PR2304-0047,,5/17/2023,EP2304-0074,5200108734000000,RAMA ROTI CANAL,CM2,10000,CM2,10000,
PR23/05-0044,Hoàng Văn Khiêm ,5/15/2023,EP2305-0044,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,CM2,10000,
