Mã,Ngày,Số chứng từ,Diễn giải,Vật tư,Tên vật tư,Đvt,Kho,Số lượng,Giá,Tiền vốn,Tk Nợ,Tk Có,Đối tượng,Nhân viên,Phân xưởng,Bộ phận,Đơn hàng/Hợp đồng bán,Lệnh sản xuất,Công đoạn,Trung tâm chi phí,Sản phẩm,Mã vụ việc,Mã giao dịch
D1,7/1/2024,D107/24-0001,,0927600095000000,Chuyển mạch đảo chiều động cơ 3 pha Hanyoung HY-140R,CAI,KQC001,4,290000,1160000,1524,1524,NCC010053,,,,,,,,,,
D1,7/1/2024,D107/24-0002,,0902205101000000,Đèn côn trùng led 40cm,CAI,KQC001,5,1550000,7750000,1524,1524,NCC010053,,,,,,,,,,
D1,7/1/2024,D107/24-0003,,0903900170000000,Van điện từ khí nén 5 ngã ren trong 21mm.  JANATICS Model: DS267SC63.- PR.Rangge: 2-10Bar- Ports: G1/2.,Cái,KQC001,2,890000,1780000,1531,1531,NCC010053,,,,,,,,,,
D1,7/1/2024,D107/24-0004,,0902210550000000,Công tắc giật dây RP-RM83F-38LTE.,CAI,KQC001,4,1970000,7880000,1524,1524,NCC010053,,,,,,,,,,
D1,7/1/2024,D107/24-0005,,0908500410000000,Lô cao su phi 200 X 1150mm ( Gia công theo bản vẽ),TRUC,KQC001,1,12479000,12479000,1524,1524,NCC010083,,,,,,,,,,
D1,7/1/2024,D107/24-0007,,5200107420000000,Chapati-48 lumut,CM2,KQC001,5190,290,1505100,1522,1522,NCC010204,,,,,,,,,,
DC,7/1/2024,DC07/24-0001,Chuyển kho cuộn sang kho Kinh Doanh xuất Xe CTy KIM ĐỨC,THACUKID098100100078TRDU,"Vải manh PP trắng đục K.98.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 78.8g/m [4000m/cuộn]",M,KCU001,1567,850.01487,16973947,15517,15514,NCC010165,001306,,,SO2405-0049,,,,,,2260
DC,7/1/2024,DC07/24-0001,Chuyển kho cuộn sang kho Kinh Doanh xuất Xe CTy KIM ĐỨC,THACUKID117100100094TRDU,"Vải manh PP trắng đục K.117.5cm, MĐ: 10.0x10.0, kiểu dệt caro; TL: 94.0g/m [4000m/cuộn]",M,KCU001,3721,1220.06002,48785320,15517,15514,NCC010165,001306,,,SO2405-0049,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70CAMDW24.08A,"[08A] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 08A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KTP001,1733.5,1908.21568,48430514,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
DC,7/1/2024,DC07/24-0003,Chuyển kho cuộn+ kho bao sang kho Kinh Doanh xuất cont DONGWON 01/07/2024,TPH455066G70CAMDW24.09A,"[09A] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW24 - 09A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KTP001,1072.5,1906.39614,29167861,15517,15515,KH020005,001306,,,SO2406-0004,,,,,,2260
