Số chứng từ,Ngày tạo,Người tạo,Loại kế hoạch,Ghi chú 1,Vật tư,Tên vật tư,Đvt 1,Số lượng 1,HSQĐ,Đvt 2,Số lượng 2,Ghi chú 2,Mục đích sử dụng,Ngày sử dụng
EP2306-0004,6/1/2023,Nguyễn Văn Long,Theo bộ phận,KHẮC DONGWON (KHẮC NGHỊCH 5MM )- CAO SU- PO1 BỔ SUNG,5200103180000000,Dongwon 7-B,CM2,10000,1,CM2,10000,,,6/4/2023
EP2306-0002,6/1/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC MOLINERA (KHẮC THUẬN 4MM )-SO2304-0017,5200104840000000,bản in EXTRA FINA,CM2,10000,1,CM2,10000,,,6/4/2023
EP2306-0006,6/1/2023,Nguyễn Văn Long,Theo bộ phận,KHẮC MOLINERA (KHẮC NGHỊCH 5MM )- SO2304-0017,5200104890000000,Flor,CM2,10000,1,CM2,10000,,,6/3/2023
EP2306-0005,6/1/2023,Hành chính kỹ thuật,Theo bộ phận,Vật tư sử dụng lắp đặt máy dệt CS phân xưởng 1,0902205190000000,Đèn diệt côn trùng công nghiệp DAISINH DS-D202,CAI,4,1,CAI,4,,Máy dệt CS,6/10/2023
EP2306-0009,6/2/2023,Hành chính kỹ thuật,Theo bộ phận,Vật tư sử dụng bảo trì bảo dưỡng thoi máy dệt CS ( Dự án ),0901100170000000,Bạc đạn SKF 6000-2Z/C3,CAI,80,1,CAI,80,,Máy dệt CS,6/12/2023
EP2306-0009,6/2/2023,Hành chính kỹ thuật,Theo bộ phận,Vật tư sử dụng bảo trì bảo dưỡng thoi máy dệt CS ( Dự án ),0901100180000000,BẠC ĐẠN 6001,CAI,300,1,CAI,300,,Máy dệt CS,6/12/2023
EP2306-0009,6/2/2023,Hành chính kỹ thuật,Theo bộ phận,Vật tư sử dụng bảo trì bảo dưỡng thoi máy dệt CS ( Dự án ),0901100350000000,BẠC ĐẠN 608,CAI,200,1,CAI,200,,Máy dệt CS,6/12/2023
EP2306-0008,6/2/2023,Nguyễn Văn Long,Theo bộ phận,KHẮC DELL VALLE (KHẮC NGHỊCH 5MM )-SO2305-0045,52001051010000000,HARINA PANIFICATION DEL VALLE,CM2,10000,1,CM2,10000,,,6/5/2023
EP2306-0011,6/2/2023,Trần Thị Phượng,Theo bộ phận,MUA NƯỚC SUỐI TIẾP KHÁCH + NỘI BỘ,5300101670000000,Nước suối aquafina 500ml,CHAI,600,1,CHAI,600,,,6/7/2023
EP2306-0009,6/2/2023,Hành chính kỹ thuật,Theo bộ phận,Vật tư sử dụng bảo trì bảo dưỡng thoi máy dệt CS ( Dự án ),0923700240000000,Bulong lục giác đầu dù M6x20,CON,100,1,CON,100,,Máy dệt CS,6/12/2023
