Mã phiếu,Người tạo,Ngày tạo,Mã kế hoạch,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN
PR24/01-069,Hoàng Văn Khiêm ,1/23/2024,EP2401-0078,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,100,KG,1000,
PR24/03-038,Hoàng Văn Khiêm ,3/13/2024,EP2403-0040,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,100,KG,1000,
PR24/04-029,Hoàng Văn Khiêm ,4/11/2024,EP2404-0030,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,100,KG,1000,
PR24/05-073,Hoàng Văn Khiêm ,5/29/2024,EP2405-0097,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,100,KG,1000,
PR24/03-081,Nguyễn Thị Hưởng,3/28/2024,EP2403-0093,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,20,KG,200,
PR24/03-021,Hoàng Văn Khiêm ,3/7/2024,EP2403-0018,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,10,KG,100,
PR24/01-085,Hoàng Văn Khiêm ,1/25/2024,EP2401-0097,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,5,KG,50,
PR24/02-035,Hoàng Văn Khiêm ,2/27/2024,EP2402-0038,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,10,KG,100,
PR24/05-003,Hoàng Văn Khiêm ,5/2/2024,EP2405-0001,0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,5,KG,50,
PR24/05-073,Hoàng Văn Khiêm ,5/29/2024,EP2405-0097,0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,40,KG,400,
PR24/05-041,Hoàng Văn Khiêm ,5/15/2024,EP2405-0046,0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,10,KG,100,
PR24/04-029,Hoàng Văn Khiêm ,4/11/2024,EP2404-0030,0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",CUON,5,KG,100,
PR24/02-023,Hoàng Văn Khiêm ,2/20/2024,EP2402-0013,0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",CUON,2,KG,40,
PR24/05-070,Hoàng Văn Khiêm ,5/27/2024,EP2405-0083,5200105363000000,HK6 (L),CM2,10000,CM2,10000,
PR24/05-081,Hoàng Văn Khiêm ,5/30/2024,EP2405-0092,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,CM2,10000,
PR24/01-029,Hoàng Văn Khiêm ,1/10/2024,EP2401-0017,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,CM2,10000,
PR24/03-033,Hoàng Văn Khiêm ,3/12/2024,EP2403-0027,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,CM2,10000,
PR24/02-052,Hoàng Văn Khiêm ,2/29/2024,EP2402-0054,5200108834000000,Bản in GẠO HƯƠNG SEN ( TƯ TRÚC),CM2,10000,CM2,10000,
PR24/02-027,Hoàng Văn Khiêm ,2/23/2024,EP2402-0016,5200108837000000,Gạo lài sữa-tư trúc,CM2,10000,CM2,10000,
PR24/04-021,Hoàng Văn Khiêm ,4/8/2024,EP2404-0015,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,CM2,10000,
PR24/05-057,Hoàng Văn Khiêm ,5/24/2024,EP2405-0070,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,CM2,10000,
PR24/05-057,Hoàng Văn Khiêm ,5/24/2024,EP2405-0070,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,CM2,10000,
PR24/03-083,Nguyễn Thị Hưởng,3/28/2024,EP2403-0092,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,CM2,10000,
PR24/03-071,Hoàng Văn Khiêm ,3/25/2024,EP2403-0078,5200110840000000,Kìm bấm cos mạng RJ11/12 và RJ45,CAI,40,CAI,40,
PR24/03-059,Hoàng Văn Khiêm ,3/22/2024,EP2403-0075,5300101542000000,Sơ dừa,BAO,150,BAO,150,
PR24/05-030,Hoàng Văn Khiêm ,5/13/2024,EP2405-0006,5300101542000000,Sơ dừa,BAO,20,BAO,20,
PR24/05-079,Hoàng Văn Khiêm ,5/29/2024,EP2405-0054,5300101542000000,Sơ dừa,BAO,100,BAO,100,
PR24/05-084,Nguyễn Thị Hưởng,5/31/2024,EP2405-0062,0700100030000000,nhớt 10,LIT,4000,LIT,4000,
PR24/05-027,Hoàng Văn Khiêm ,5/13/2024,EP2405-0032,0700100030000000,nhớt 10,LIT,1000,LIT,1000,
PR24/03-020,Hoàng Văn Khiêm ,3/6/2024,EP2403-0014,0700100030000000,nhớt 10,LIT,4000,LIT,4000,
