Mã phiếu,Người tạo,Ngày tạo,Mã kế hoạch,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN
PR24/07-001,Nguyễn Thị Hưởng,7/1/2024,EP2406-0088,5200103730000000,Aqua 28 (40kg),CM2,10000,CM2,10000,
PR24/07-001,Nguyễn Thị Hưởng,7/1/2024,EP2406-0088,5200103770000000,Aqua32,CM2,10000,CM2,10000,
PR24/07-001,Nguyễn Thị Hưởng,7/1/2024,EP2406-0088,5200103780000000,Aqua 34,CM2,10000,CM2,10000,
PR24/07-001,Nguyễn Thị Hưởng,7/1/2024,EP2406-0088,5200117500000000,STANDLEE-UNIPACK,CM2,10000,CM2,10000,
PR24/07-002,Nguyễn Thị Hưởng,7/1/2024,EP2406-0095,5200103710000000,AGRI FEED,CM2,15000,CM2,15000,
PR24/07-002,Nguyễn Thị Hưởng,7/1/2024,EP2406-0095,5200105150000000,Green horse,CM2,10000,CM2,10000,
PR24/07-002,Nguyễn Thị Hưởng,7/1/2024,EP2406-0095,5200106490000000,RAMA 108,CM2,10000,CM2,10000,
PR24/07-002,Nguyễn Thị Hưởng,7/1/2024,EP2406-0095,5200106620000000,Red Horse,CM2,10000,CM2,10000,
PR24/07-002,Nguyễn Thị Hưởng,7/1/2024,EP2406-0095,5200107370000000,Cap Rusa,CM2,10000,CM2,10000,
PR24/07-002,Nguyễn Thị Hưởng,7/1/2024,EP2406-0095,5200108723000000,Bản in RAMA 98,CM2,10000,CM2,10000,
PR24/07-003,Nguyễn Thị Hưởng,7/1/2024,EP2406-0096,0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,10,KG,100,
PR24/07-003,Nguyễn Thị Hưởng,7/1/2024,EP2406-0096,HAT-CAM-33102B,Hạt màu cam 33102B,KG,1100,KG,1100,
PR24/07-003,Nguyễn Thị Hưởng,7/1/2024,EP2406-0096,HAT-EMH06044,Hạt màu beige (nâu đất) EMH06044.,KG,300,KG,300,
