Số chứng từ,Ngày tạo,Người tạo,Loại kế hoạch,Ghi chú 1,Vật tư,Column7,Đvt 1,Số lượng 1,HSQĐ,Đvt 2,Số lượng 2,Ghi chú 2,Mục đích sử dụng,Ngày sử dụng
EP2401-0078,1/22/2024,Nguyễn Dũng Trung,Theo bộ phận,"Dây đai ép kiện
Dây đai mono",0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,100,10,KG,1000,TỒN KHO,,1/25/2024
EP2403-0040,3/13/2024,Nguyễn Dũng Trung,Theo bộ phận,"Hạt nhựa PP kéo sợi.
Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,100,10,KG,1000,TỒN KHO,,3/18/2024
EP2403-0018,3/6/2024,Nguyễn Dũng Trung,Theo bộ phận,"SO2402-0007 - SANPOLY
SO2402-0016 - HALSTON
SO2402-0017 - HALSTON
SO2402-0021 - SUJPLAS
SO2403-0004 - SGX
SO2403-0008 - SAN",0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,10,10,KG,100,SO2403-0003 - KCP,,3/12/2024
EP2402-0038,2/26/2024,Nguyễn Dũng Trung,Theo bộ phận,"Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm
Ống nhựa PVC D12mm, dày 2mm, màu trắng trong; TL: 100g/m [Ống nhựa cứng]",0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,10,10,KG,100,KCP + Tồn kho,,2/29/2024
EP2403-0093,3/27/2024,Nguyễn Dũng Trung,Theo bộ phận,"SO2403-0061 - KCP + SLCL SO Tổng
SO2403-0061 - KCP + SLCL SO Tổng
MF4X - Tồn kho
SO2403-0058 - HARVEST PADI III",0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,20,10,KG,200,SO2403-0061 - KCP + SLCL SO Tổng,,4/1/2024
EP2401-0097,1/25/2024,Nguyễn Dũng Trung,Theo bộ phận,"Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm
Chỉ may PP 900D, màu trắng không tẩy.(Cơ lý > or = 3.6Kgf. Độ dãn > or = 2",0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,5,10,KG,50,SO2401-0038 - KCP,,2/19/2024
EP2402-0013,2/20/2024,Nguyễn Dũng Trung,Theo bộ phận,"Chỉ may 900D
Hạt UV",0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",CUON,2,20,KG,40,UNIPACK - SO2402-0009,,3/1/2024
EP2401-0017,1/5/2024,Bùi Thái Hòa,Theo bộ phận,ĐẶT KHẮC BẢN IN CAO SU,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,1,CM2,10000,,,1/6/2024
EP2403-0027,3/11/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,1,CM2,10000,,,3/12/2024
EP2402-0054,2/29/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200108834000000,Bản in GẠO HƯƠNG SEN ( TƯ TRÚC),CM2,10000,1,CM2,10000,,,3/1/2024
