Mã phiếu,Người tạo,Ngày tạo,Mã kế hoạch,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN
PR23/11-006,Hoàng Văn Khiêm ,11/2/2023,EP2311-0003,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,50,KG,500,
PR23/12-031,Hoàng Văn Khiêm ,12/13/2023,EP2312-0038,0500100020000000,"Dây đai ép kiện, màu vàng, K15.0mm, TL: 10.0g/m.",Cuộn,50,KG,500,
PR23/12-031,Hoàng Văn Khiêm ,12/13/2023,EP2312-0038,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,5,KG,50,
PR23/12-031,Hoàng Văn Khiêm ,12/13/2023,EP2312-0039,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,8,KG,80,
PR23/11-006,Hoàng Văn Khiêm ,11/2/2023,EP2311-0003,0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",CUON,3,KG,60,
PR23/11-011,Hoàng Văn Khiêm ,11/6/2023,EP2311-0006,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,CM2,10000,
PR23/10-037,Hoàng Văn Khiêm ,10/16/2023,EP2310-0041,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,CM2,10000,
PR23/12-009,Hoàng Văn Khiêm ,12/5/2023,EP2312-0011,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,CM2,10000,
PR23/12-042,Hoàng Văn Khiêm ,12/18/2023,EP2312-0053,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,CM2,10000,
PR23/10-037,Hoàng Văn Khiêm ,10/16/2023,EP2310-0041,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,CM2,10000,
PR23/10-008,Hoàng Văn Khiêm ,10/4/2023,EP2310-0002,5300101790000000,LOGO TRIBAT SÀI GÒN XANH,CM2,10000,CM2,10000,
PR23/10-030,Hoàng Văn Khiêm ,10/12/2023,EP2310-0036,0700100030000000,nhớt 10,LIT,1400,LIT,1400,
PR23/11-017,Hoàng Văn Khiêm ,11/9/2023,EP2311-0009,0700100030000000,nhớt 10,LIT,2000,LIT,2000,
PR23/12-012,Hoàng Văn Khiêm ,12/6/2023,EP2311-0093,0700100030000000,nhớt 10,LIT,2000,LIT,2000,
PR23/12-048,Nguyễn Thị Hưởng,12/19/2023,EP2312-0057,0700100030000000,nhớt 10,LIT,2000,LIT,2000,
PR23/12-050,Hoàng Văn Khiêm ,12/20/2023,EP2312-0051,0700100080000000,Xăng thơm công nghiệp.,LIT,10,LIT,10,
PR23/11-073,Hoàng Văn Khiêm ,11/27/2023,EP2311-0074,0700100080000000,Xăng thơm công nghiệp.,LIT,10,LIT,10,
PR23/11-085,Hoàng Văn Khiêm ,11/29/2023,EP2311-0092,0700100080000000,Xăng thơm công nghiệp.,LIT,5,LIT,5,
PR23/11-064,Hoàng Văn Khiêm ,11/27/2023,EP2311-0069,0700100240000000,AXIT LOÃNG CHÂM BÌNH,LIT,210,LIT,210,
PR23/10-016,Hoàng Văn Khiêm ,10/10/2023,EP2310-0016,0700100240000000,AXIT LOÃNG CHÂM BÌNH,LIT,210,LIT,210,
PR23/12-067,Hoàng Văn Khiêm ,12/28/2023,EP2312-0085,NEP13MM.DEN,"Nẹp khổ 1.3cm, manh PP tráng một mặt màu đen, TL: 1.3g/m",M,54000,KG,70.2,
PR23/10-019,Hoàng Văn Khiêm ,10/10/2023,EP2310-0032,BAO-048075G13HDPE.DW,"Túi HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/cái(+/-1.0). [Ghi chú: cắt nguội dài 76.5cm(+/-1), hàn đáy 2 đường].",CAI,702000,KG,9126,
PR23/10-033,Nguyễn Thị Hưởng,10/13/2023,EP2310-0045,BAO-3040W100.LD.JPD,"Túi LDPE in đỏ marka GECOSAC, 30cmx40cmx100micron, TL: 22gr.",CAI,10200,KG,224.4,
PR23/10-034,Nguyễn Thị Hưởng,10/13/2023,EP2310-0048,BAO-3040W100.LD.JPD,"Túi LDPE in đỏ marka GECOSAC, 30cmx40cmx100micron, TL: 22gr.",CAI,19800,KG,435.6,
PR23/10-003,Nguyễn Thị Hưởng,10/4/2023,EP2309-0116,HDPE051084G019TT,"Túi HDPE, màu trắng đục, 51(+1/-0.5)x84LL(+1/-0.5), dày 20mi, cắt dài 85.5cm + hàn cách đáy 1.5cm(+/-0.5), TL: 19g/cái(+/-1).",CAI,500,KG,9.5,
PR23/11-013,Hoàng Văn Khiêm ,11/6/2023,EP2311-0008,HDPE051084G019TT,"Túi HDPE, màu trắng đục, 51(+1/-0.5)x84LL(+1/-0.5), dày 20mi, cắt dài 85.5cm + hàn cách đáy 1.5cm(+/-0.5), TL: 19g/cái(+/-1).",CAI,305000,KG,5795,
PR23/11-088,Hoàng Văn Khiêm ,11/29/2023,EP2311-0100,HDPE051084G019TT,"Túi HDPE, màu trắng đục, 51(+1/-0.5)x84LL(+1/-0.5), dày 20mi, cắt dài 85.5cm + hàn cách đáy 1.5cm(+/-0.5), TL: 19g/cái(+/-1).",CAI,90000,KG,1710,
PR23/11-050,Hoàng Văn Khiêm ,11/22/2023,EP2311-0062,5200101550000000,Golden Globe - Hoàn Kim,CM2,10000,CM2,10000,
PR23/11-054,Hoàng Văn Khiêm ,11/22/2023,EP2311-0045,5200103460000000,8802 Lumut,CM2,10000,CM2,10000,
PR23/12-042,Hoàng Văn Khiêm ,12/18/2023,EP2312-0053,5200103500000000,Bản in 888 ORANGE-40KG,CM2,10000,CM2,10000,
