Nhân viên,Kho nhận,PO,Số YCMH,Ngày yêu cầu,Thời hạn,Mặt hàng,Tên hàng,Đvt (1),Đvt (2),Yêu cầu 1,Yêu cầu 2,Duyệt mua 1,Duyệt mua 2,Đặt mua 1,Đặt mua 2,Yêu cầu nhập kho 1,Yêu cầu nhập kho 2,Nhập kho 1,Nhập kho 2,Còn thiếu 1,Còn thiếu 2,Mục đích sử dụng,Ghi chú
Châu Hùng Long,KVT001,,PI23/08-001,8/23/2023,8/24/2023,0090610200000000,Trục nối vòng bi mắt trâu ren ngoài M8.  - SA8T/K,CAI,CAI,1,1,1,1,0,0,0,0,0,0,1,1,,
Hoàng Văn Khiêm ,KVT,PO06/23-008,PR23/06-003,6/2/2023,6/5/2023,5200103180000000,Dongwon 7-B,CM2,CM2,10000,10000,0,0,10000,10000,3974,3974,0,0,10000,10000,,
Hoàng Văn Khiêm ,BANIN,PO06/23-008,PR23/06-003,6/2/2023,6/5/2023,5200104840000000,bản in EXTRA FINA,CM2,CM2,10000,10000,0,0,10000,10000,4830,4830,0,0,10000,10000,,
Hoàng Văn Khiêm ,BANIN,PO06/23-008,PR23/06-003,6/2/2023,6/5/2023,5200104890000000,Flor,CM2,CM2,10000,10000,0,0,10000,10000,2418,2418,0,0,10000,10000,,
Hoàng Văn Khiêm ,KVT001,PO06/23-008,PR23/06-003,6/2/2023,6/5/2023,52001051010000000,HARINA PANIFICATION DEL VALLE,CM2,CM2,10000,10000,0,0,10000,10000,4521,4521,0,0,10000,10000,,
Hoàng Văn Khiêm ,KVT001,PO06/23-009,PR23/06-004,6/2/2023,6/6/2023,0902205190000000,Đèn diệt côn trùng công nghiệp DAISINH DS-D202,CAI,CAI,4,4,0,0,4,4,4,4,0,0,4,4,,
Hoàng Văn Khiêm ,KVP001,PO06/23-009,PR23/06-005,6/2/2023,6/4/2023,5300101670000000,Nước suối aquafina 500ml,CHAI,CHAI,600,600,0,0,600,600,600,600,0,0,600,600,,
Hoàng Văn Khiêm ,,PO06/23-009,PR23/06-006,6/5/2023,6/10/2023,0916100070000000,Nước sơn vàng vẽ layout,Hộp,Hộp,2,2,0,0,2,2,2,2,0,0,2,2,,
Hoàng Văn Khiêm ,,PO06/23-009,PR23/06-006,6/5/2023,6/10/2023,0902202760000000,Rulô lăn sơn 10cm,Cây,Cây,3,3,0,0,3,3,3,3,0,0,3,3,,
Hoàng Văn Khiêm ,KVT001,PO06/23-008,PR23/06-007,6/5/2023,6/10/2023,5300101790000000,LOGO TRIBAT SÀI GÒN XANH,CM2,CM2,10000,10000,0,0,10000,10000,3974,3974,0,0,10000,10000,,
Hoàng Văn Khiêm ,BANIN,PO06/23-008,PR23/06-007,6/5/2023,6/10/2023,5200103830000000,BAJA PADI III,CM2,CM2,10000,10000,0,0,10000,10000,6203.5,6203.5,0,0,10000,10000,,
Hoàng Văn Khiêm ,KVT001,PO06/23-015,PR23/06-007,6/5/2023,6/10/2023,5200108838000000,LOGO PADI III-HARVEST,CM2,CM2,10000,10000,0,0,10000,10000,2898,2898,0,0,10000,10000,,
Hoàng Văn Khiêm ,KVT001,PO06/23-010,PR23/06-008,6/5/2023,6/10/2023,0902208800000000,Dây điện tiếp địa sọc vàng 1x6mm2,M,M,400,400,0,0,400,400,400,400,0,0,400,400,,
Hoàng Văn Khiêm ,KVT001,PO06/23-010,PR23/06-008,6/5/2023,6/10/2023,0906600530000000,Máng điện 200x100x1.8 + nắp,M,M,30,30,0,0,30,30,30,30,0,0,30,30,,
Hoàng Văn Khiêm ,KVT001,PO06/23-010,PR23/06-008,6/5/2023,6/10/2023,0906600570000000,Co xuống 200x100x1.8 + nắp,CAI,CAI,4,4,0,0,4,4,4,4,0,0,4,4,,
Hoàng Văn Khiêm ,KVT001,PO06/23-010,PR23/06-008,6/5/2023,6/10/2023,0906600550000000,Máng điện 100x50x1.8 + nắp,M,M,30,30,0,0,30,30,30,30,0,0,30,30,,
Hoàng Văn Khiêm ,KVT001,PO06/23-010,PR23/06-008,6/5/2023,6/10/2023,0906600560000000,Co xuống 100x50x1.8 + nắp,CAI,CAI,6,6,0,0,6,6,6,6,0,0,6,6,,
Hoàng Văn Khiêm ,KVT001,PO06/23-010,PR23/06-008,6/5/2023,6/10/2023,0902204330000000,Dây điện tiếp địa sọc vàng 1C X 8MM2,M,M,400,400,0,0,400,400,400,400,0,0,400,400,,
